time,ax,ay,az,atotal
2021-03-04 17:30:35.3570,-0.05,0.3,0.25,0.39
2021-03-04 17:30:35.3670,-0.02,0.34,0.23,0.41
2021-03-04 17:30:35.3850,0.05,0.31,0.14,0.34
2021-03-04 17:30:35.3870,0.14,0.27,0.05,0.3
2021-03-04 17:30:35.3970,0.21,0.22,-0.02,0.3
2021-03-04 17:30:35.4070,0.26,0.19,-0.09,0.33
2021-03-04 17:30:35.4170,0.29,0.18,-0.1,0.35
2021-03-04 17:30:35.4270,0.28,0.13,-0.14,0.33
2021-03-04 17:30:35.4370,0.22,0.06,-0.16,0.27
2021-03-04 17:30:35.4470,0.12,0.02,-0.16,0.2
2021-03-04 17:30:35.4570,0.01,0.01,-0.16,0.16
2021-03-04 17:30:35.4680,-0.1,0.03,-0.15,0.18
2021-03-04 17:30:35.4890,-0.2,0.03,-0.13,0.24
2021-03-04 17:30:35.4920,-0.26,0.05,-0.14,0.29
2021-03-04 17:30:35.4960,-0.3,0.09,-0.13,0.33
2021-03-04 17:30:35.5060,-0.3,0.15,-0.13,0.35
2021-03-04 17:30:35.5160,-0.26,0.18,-0.15,0.35
2021-03-04 17:30:35.5270,-0.21,0.2,-0.17,0.33
2021-03-04 17:30:35.5360,-0.15,0.2,-0.2,0.32
2021-03-04 17:30:35.5470,-0.1,0.14,-0.2,0.26
2021-03-04 17:30:35.5570,-0.06,0.09,-0.21,0.23
2021-03-04 17:30:35.5660,-0.01,0.03,-0.22,0.22
2021-03-04 17:30:35.5850,0.03,-0.02,-0.2,0.2
2021-03-04 17:30:35.5870,0.06,-0.04,-0.18,0.19
2021-03-04 17:30:35.5950,0.08,-0.03,-0.16,0.18
2021-03-04 17:30:35.6050,0.09,-0.01,-0.1,0.13
2021-03-04 17:30:35.6150,0.08,0.01,-0.04,0.09
2021-03-04 17:30:35.6260,0.05,0.02,0.01,0.05
2021-03-04 17:30:35.6360,0.01,0.02,0.06,0.06
2021-03-04 17:30:35.6460,-0.03,-0.01,0.1,0.1
2021-03-04 17:30:35.6560,-0.07,-0.04,0.11,0.13
2021-03-04 17:30:35.6650,-0.11,-0.05,0.1,0.15
2021-03-04 17:30:35.6840,-0.13,-0.06,0.09,0.16
2021-03-04 17:30:35.6860,-0.14,-0.05,0.09,0.17
2021-03-04 17:30:35.6950,-0.14,-0.06,0.12,0.19
2021-03-04 17:30:35.7050,-0.13,-0.02,0.14,0.19
2021-03-04 17:30:35.7150,-0.11,0.01,0.18,0.21
2021-03-04 17:30:35.7250,-0.09,0.02,0.16,0.18
2021-03-04 17:30:35.7350,-0.1,-0.05,0.08,0.13
2021-03-04 17:30:35.7450,-0.1,-0.11,0.0,0.14
2021-03-04 17:30:35.7560,-0.09,-0.06,0.0,0.1
2021-03-04 17:30:35.7650,-0.05,0.02,-0.04,0.06
2021-03-04 17:30:35.7830,-0.01,0.08,-0.09,0.12
2021-03-04 17:30:35.7850,0.02,0.09,-0.13,0.15
2021-03-04 17:30:35.7940,0.06,0.03,-0.17,0.18
2021-03-04 17:30:35.8040,0.09,-0.07,-0.15,0.18
2021-03-04 17:30:35.8140,0.12,-0.13,-0.1,0.2
2021-03-04 17:30:35.8240,0.16,-0.12,-0.06,0.2
2021-03-04 17:30:35.8340,0.14,-0.1,-0.05,0.17
2021-03-04 17:30:35.8440,0.09,-0.04,-0.01,0.09
2021-03-04 17:30:35.8540,0.04,0.03,0.04,0.06
2021-03-04 17:30:35.8640,0.0,0.09,0.09,0.12
2021-03-04 17:30:35.8820,-0.03,0.14,0.11,0.18
2021-03-04 17:30:35.8840,-0.06,0.16,0.1,0.19
2021-03-04 17:30:35.8940,-0.07,0.16,0.05,0.18
2021-03-04 17:30:35.9030,-0.07,0.12,0.02,0.14
2021-03-04 17:30:35.9130,-0.07,0.08,-0.02,0.1
2021-03-04 17:30:35.9240,-0.06,0.03,-0.06,0.09
2021-03-04 17:30:35.9330,-0.04,0.01,-0.09,0.09
2021-03-04 17:30:35.9440,-0.01,0.0,-0.11,0.11
2021-03-04 17:30:35.9540,-0.01,0.0,-0.09,0.09
2021-03-04 17:30:35.9640,0.01,0.03,-0.05,0.05
2021-03-04 17:30:35.9830,0.02,0.06,-0.03,0.06
2021-03-04 17:30:35.9840,0.01,0.09,-0.02,0.09
2021-03-04 17:30:35.9930,0.01,0.08,0.01,0.08
2021-03-04 17:30:36.0030,0.01,0.04,0.02,0.04
2021-03-04 17:30:36.0130,0.02,0.02,0.02,0.03
2021-03-04 17:30:36.0230,0.05,0.0,0.06,0.07
2021-03-04 17:30:36.0330,0.07,0.01,0.05,0.08
2021-03-04 17:30:36.0440,0.06,-0.01,0.04,0.07
2021-03-04 17:30:36.0520,0.06,-0.01,0.04,0.07
2021-03-04 17:30:36.0630,0.06,0.0,0.0,0.06
2021-03-04 17:30:36.0840,0.07,0.03,-0.04,0.08
2021-03-04 17:30:36.0860,0.09,0.06,-0.08,0.13
2021-03-04 17:30:36.0920,0.11,0.09,-0.14,0.19
2021-03-04 17:30:36.1020,0.16,0.1,-0.17,0.25
2021-03-04 17:30:36.1130,0.19,0.09,-0.18,0.27
