time,ax,ay,az
2021-03-04 17:29:06.0020,-0.23,0.02,-0.05
2021-03-04 17:29:06.0120,-0.25,0.06,0
2021-03-04 17:29:06.0220,-0.29,0.07,0.03
2021-03-04 17:29:06.0320,-0.32,0.06,0.03
2021-03-04 17:29:06.0420,-0.34,0.05,0.05
2021-03-04 17:29:06.0520,-0.34,0.05,0.08
2021-03-04 17:29:06.0620,-0.31,0.03,0.09
2021-03-04 17:29:06.0810,-0.26,0.01,0.11
2021-03-04 17:29:06.0830,-0.26,-0.01,0.14
2021-03-04 17:29:06.0910,-0.26,-0.04,0.17
2021-03-04 17:29:06.1010,-0.26,-0.03,0.2
2021-03-04 17:29:06.1110,-0.25,-0.02,0.17
2021-03-04 17:29:06.1220,-0.22,-0.04,0.14
2021-03-04 17:29:06.1310,-0.2,-0.05,0.09
2021-03-04 17:29:06.1420,-0.18,-0.05,0.04
2021-03-04 17:29:06.1520,-0.15,-0.01,0.04
2021-03-04 17:29:06.1620,-0.13,0.04,0.05
2021-03-04 17:29:06.1800,-0.12,0.08,0.06
2021-03-04 17:29:06.1830,-0.13,0.09,0.09
2021-03-04 17:29:06.1900,-0.16,0.09,0.09
2021-03-04 17:29:06.2010,-0.17,0.05,0.07
2021-03-04 17:29:06.2110,-0.21,0.01,0.05
2021-03-04 17:29:06.2200,-0.21,0.01,0.04
2021-03-04 17:29:06.2310,-0.2,0.01,0.02
2021-03-04 17:29:06.2420,-0.19,0.02,0.02
2021-03-04 17:29:06.2520,-0.17,0.04,0
2021-03-04 17:29:06.2600,-0.11,0.07,-0.02
2021-03-04 17:29:06.2820,-0.08,0.09,-0.04
2021-03-04 17:29:06.2840,-0.06,0.09,-0.02
2021-03-04 17:29:06.2900,-0.06,0.1,-0.01
2021-03-04 17:29:06.3000,-0.04,0.11,-0.01
2021-03-04 17:29:06.3100,-0.03,0.11,-0.03
2021-03-04 17:29:06.3200,0,0.1,-0.02
2021-03-04 17:29:06.3300,0.01,0.07,-0.01
2021-03-04 17:29:06.3400,0.01,0.04,-0.01
2021-03-04 17:29:06.3510,0.05,0,0.04
2021-03-04 17:29:06.3600,0.1,-0.05,0.08
2021-03-04 17:29:06.3790,0.15,-0.11,0.1
2021-03-04 17:29:06.3810,0.19,-0.1,0.12
2021-03-04 17:29:06.3890,0.18,-0.04,0.08
2021-03-04 17:29:06.3990,0.14,0.04,0.01
2021-03-04 17:29:06.4090,0.1,0.08,-0.08
2021-03-04 17:29:06.4190,0.04,0.12,-0.12
2021-03-04 17:29:06.4300,0.02,0.12,-0.13
2021-03-04 17:29:06.4400,0.02,0.07,-0.11
2021-03-04 17:29:06.4490,0.02,-0.02,-0.05
2021-03-04 17:29:06.4590,0.02,-0.07,0.02
2021-03-04 17:29:06.4790,-0.02,-0.08,0.06
2021-03-04 17:29:06.4810,-0.08,-0.04,0.1
2021-03-04 17:29:06.4880,-0.13,0.02,0.1
2021-03-04 17:29:06.4990,-0.14,0.06,0.07
2021-03-04 17:29:06.5090,-0.12,0.07,0.01
2021-03-04 17:29:06.5190,-0.07,0.08,-0.05
2021-03-04 17:29:06.5290,-0.02,0.08,-0.07
